id,label,square,piece,shap_win,shap_loss
13,Ra7,a7,♖,0.303,-0.3030429061535142
13,Rf1,f1,♖,0.249,-0.24851354454208427
13,Rh8,h8,♜,-0.222,0.22220536552447567
13,Rf3,f3,♜,-0.187,0.18719976815035452
13,Bb7,b7,♝,-0.162,0.16193792975202306
13,g2,g2,♙,0.118,-0.11843633837236897
13,f7,f7,♟,-0.102,0.10238868888059802
13,e6,e6,♟,-0.1,0.10004002868547976
13,h2,h2,♙,0.0,0.0
13,f2,f2,♙,0.0,0.0
13,c4,c4,♟,0.0,0.0
13,c3,c3,♙,0.0,0.0
13,h6,h6,♟,0.0,0.0
13,c6,c6,♟,0.0,0.0
14,Qh5,h5,♕,0.445,-0.4445996287926486
14,Qf8,f8,♛,-0.311,0.31052081746521915
14,Rf6,f6,♖,0.267,-0.2665811911714689
14,Ra1,a1,♖,0.237,-0.2374477438722301
14,Ra8,a8,♜,-0.188,0.18829222265374207
14,Re7,e7,♜,-0.184,0.18376994347762998
14,Bd3,d3,♗,0.174,-0.17382986111484786
14,Nh7,h7,♞,-0.128,0.1280893533552724
14,h6,h6,♟,-0.112,0.11165334893429929
14,Ne3,e3,♘,0.111,-0.11086726093496747
14,h3,h3,♙,0.0,0.0
14,g2,g2,♙,0.0,0.0
14,a2,a2,♙,0.0,0.0
14,c3,c3,♙,0.0,0.0
14,b2,b2,♙,0.0,0.0
14,d4,d4,♙,0.0,0.0
14,a6,a6,♟,0.0,0.0
14,e6,e6,♟,0.0,0.0
14,d5,d5,♟,0.0,0.0
14,e5,e5,♙,0.0,0.0
14,g7,g7,♟,0.0,0.0
14,f7,f7,♟,0.0,0.0
14,b7,b7,♟,0.0,0.0
14,Bc8,c8,♝,0.0,0.0
15,Qh5,h5,♕,0.413,-0.4130191247476893
15,Qf8,f8,♛,-0.372,0.3722472799803086
15,Rf4,f4,♖,0.241,-0.24111616660618881
15,Ra1,a1,♖,0.239,-0.23875494374834721
15,Ra8,a8,♜,-0.236,0.23562249054312143
15,Ng4,g4,♘,0.194,-0.19392452656590334
15,Re7,e7,♜,-0.181,0.1805606825952651
15,Bd3,d3,♗,0.181,-0.18134728349282958
15,Bd7,d7,♝,-0.119,0.11851138784517781
15,Nh7,h7,♞,-0.119,0.11922020419708523
15,d4,d4,♙,0.0,0.0
15,h3,h3,♙,0.0,0.0
15,a2,a2,♙,0.0,0.0
15,b2,b2,♙,0.0,0.0
15,c3,c3,♙,0.0,0.0
15,g2,g2,♙,0.0,0.0
15,h6,h6,♟,0.0,0.0
15,e6,e6,♟,0.0,0.0
15,a6,a6,♟,0.0,0.0
15,e5,e5,♙,0.0,0.0
15,d5,d5,♟,0.0,0.0
15,b7,b7,♟,0.0,0.0
15,f7,f7,♟,0.0,0.0
15,g7,g7,♟,0.0,0.0
16,Qh5,h5,♕,0.392,-0.39193517932246924
16,Qf8,f8,♛,-0.361,0.36063752346697053
16,Rf4,f4,♖,0.277,-0.2772231877313469
16,Ra8,a8,♜,-0.224,0.2237928085020913
16,Rc7,c7,♜,-0.212,0.21245056427717818
16,Ra1,a1,♖,0.21,-0.210251577350541
16,Bd3,d3,♗,0.095,-0.09519900774484037
16,f7,f7,♟,0.084,-0.08421462772563748
16,g2,g2,♙,0.075,-0.07536419002710251
16,g7,g7,♙,0.064,-0.06369312634430246
16,c3,c3,♙,0.0,0.0
16,a2,a2,♙,0.0,0.0
16,b2,b2,♙,0.0,0.0
16,e6,e6,♟,0.0,0.0
16,a6,a6,♟,0.0,0.0
16,d5,d5,♟,0.0,0.0
16,d4,d4,♙,0.0,0.0
16,h3,h3,♙,0.0,0.0
16,b7,b7,♟,0.0,0.0
16,h6,h6,♟,0.0,0.0
16,Be8,e8,♝,0.0,0.0
17,Bg7,g7,♝,-0.227,0.2268109523809508
17,Be6,e6,♗,0.226,-0.22596761904761797
17,Bf8,f8,♗,0.225,-0.2250453968253957
17,Be2,e2,♝,-0.212,0.21165936507936312
17,a2,a2,♙,0.147,-0.14686761904761775
17,f4,f4,♙,0.137,-0.13655174603174508
17,g4,g4,♙,0.133,-0.13260888888888772
17,h7,h7,♟,-0.125,0.12471253968253884
17,a6,a6,♟,-0.113,0.11268793650793538
17,h2,h2,♙,0.055,-0.054829523809523856
17,g6,g6,♟,0.0,0.0
18,g5,g5,♟,-0.274,0.27413809523809507
18,Be2,e2,♗,0.221,-0.22077857142857127
18,Bc6,c6,♝,-0.203,0.2030547619047619
18,g4,g4,♙,0.18,-0.18031190476190478
18,a3,a3,♙,0.106,-0.10581190476190472
18,f5,f5,♙,0.099,-0.0986619047619048
18,a5,a5,♟,-0.073,0.07337142857142859
19,Be2,e2,♗,0.268,-0.2681357142857144
19,g5,g5,♟,-0.231,0.23126428571428578
19,g4,g4,♙,0.193,-0.19288571428571438
19,Bc6,c6,♝,-0.178,0.17801428571428574
19,a3,a3,♙,0.159,-0.15875238095238092
19,f5,f5,♙,0.114,-0.11423571428571432
19,a4,a4,♟,-0.037,0.03673095238095242
20,Qb5,b5,♕,0.396,-0.3957982170986319
20,Qc7,c7,♛,-0.336,0.3362700521978527
20,Ra1,a1,♖,0.238,-0.23818135076788277
20,Rf1,f1,♖,0.217,-0.21724862304157957
20,Ra4,a4,♜,-0.209,0.20921574767837867
20,Re7,e7,♜,-0.202,0.20167833361938417
20,Nb6,b6,♞,-0.18,0.17956681946695843
20,Nd7,d7,♞,-0.152,0.15154475571086268
20,Be3,e3,♗,0.15,-0.15024373485320272
20,Nd2,d2,♘,0.123,-0.1228037829121397
20,c3,c3,♙,0.0,0.0
